Unnamed: 0,번호,제목,저자,출판사,출판일
,28,Classification and comparison of NoSQL big data models,"Sharma, Sugam; Tim, Udoyara Sunday; Gadia, Shashi; Wong, Johnny; Shandilya, Ritu; Peddoju, Sateesh K.",Inderscience,2015
,29,A new approach for accurate distributed cluster analysis for Big Data: competitive K-Means,"Esteves, Rui Máximo; Hacker, Thomas; Rong, Chunming",Inderscience,2014
,30,An Enhanced Visualization Method to Aid Behavioral Trajectory Pattern Recognition Infrastructure for Big Longitudinal Data,"Fang, H.; Zhang, Z.",unknown,2018
,31,HDM: A Composable Framework for Big Data Processing,"Wu, D.; Zhu, L.; Lu, Q.; Sakr, S.",unknown,2018
,32,Distributed Feature Selection for Efficient Economic Big Data Analysis,"Zhao, L.; Chen, Z.; Hu, Y.; Min, G.; Jiang, Z.",unknown,2018
,33,A platform for big data analytics on distributed scaleout storage system,"Aye, Kyar Nyo; Thein, Thandar",Inderscience,2015
,34,Large-scale spectral clustering for managing big data in healthcare operations,"Liu, Maoqing; Fard, Nasser; Sadeghzadeh, Keivan",Inderscience,2017
,35,Privacy models for big data: a survey,"Victor, Nancy; Lopez, Daphne; Abawajy, Jemal H.",Inderscience,2016
,36,Taxi-Passenger-Demand Modeling Based on Big Data from a Roving Sensor Network,"Zhang, D.; He, T.; Lin, S.; Munir, S.; Stankovic, J. A.",unknown,2017
,37,A survey and development on context-aware monitoring in healthcare with big data,"Reeja, S.R.; Baig, Murthuza Ali; Cherian, Rino; Jothimani, K.",Inderscience,2020
,38,Toward Efficient and Flexible Metadata Indexing of Big Data Systems,"Zhao, D.; Qiao, K.; Zhou, Z.; Li, T.; Lu, Z.; Xu, X.",unknown,2017
,39,A concentric framework for leveraging big data for business value,"Chuang, Ta-Tao; Nakatani, Kazuo; Patil, Vivek H.",Inderscience,2020
,40,NoSQL databases for big data,"Oussous, Ahmed; Benjelloun, Fatima-Zahra; Lahcen, Ayoub Ait; Belfkih, Samir",Inderscience,2017
,41,A five-layer architecture for big data processing and analytics,"Zhu, Julie Yixuan; Tang, Bo; Li, Victor O.K.",Inderscience,2019
,42,Parallel computing for preserving privacy using k-anonymisation algorithms from big data,"Yaji, Sharath; Neelima, B.",Inderscience,2018
,43,Corporate governance fraud detection from annual reports using big data analytics,"Sadasivam, G. Sudha; Subrahmanyam, Mutyala; Himachalam, Dasaraju; Pinnamaneni, Bhanu Prasad; Lakshme, S. Maha",Inderscience,2016
,44,2017 Index IEEE Transactions on Big Data Vol. 3,unknown,unknown,2018
,45,AlgorithmSeer: A System for Extracting and Searching for Algorithms in Scholarly Big Data,"Tuarob, S.; Bhatia, S.; Mitra, P.; Giles, C. L.",unknown,2016
,46,Deduplication on Encrypted Big Data in Cloud,"Yan, Z.; Ding, W.; Yu, X.; Zhu, H.; Deng, R. H.",unknown,2016
,47,Computation migration: a new approach to execute big-data bioinformatics workflows,"Nunes, Rickey T. P.; Deshpande, Santosh L.",Inderscience,2018
,48,Guest Editorial: Special Issue on Big Scholar Data Discovery and Collaboration (Continued),"Lin, Y.; Tong, H.; Tang, J.; Selcuk Candan, K.",unknown,2016
,49,Perceptions of independent financial advisors on the usefulness of big data in the context of decision making in the UK,"Grishikashvili, Ketty; Bechter, Clemens",Inderscience,2019
,50,Hybridisation of classifiers for anomaly detection in big data,"Alguliyev, Rasim M.; Aliguliyev, Ramiz M.; Abdullayeva, Fargana Jabbar",Inderscience,2019
,51,Towards a real-time big data analytics platform for health applications,"Chrimes, Dillon; Kuo, Mu-Hsing; Moa, Belaid; Hu, Wei",Inderscience,2017
,52,2016 Index IEEE Transactions on Big Data Vol. 2,unknown,unknown,2017
,53,DiP-SVM : Distribution Preserving Kernel Support Vector Machine for Big Data,"Singh, D.; Roy, D.; Mohan, C. K.",unknown,2017
,54,Fast approaches for semantic service composition in big data environment,"Huang, Jun; Zhou, Yide; Duan, Qiang; Xing, Cong-Cong",Inderscience,2019
,55,Towards quality-of-service driven consistency for Big Data management,"García-Recuero, Álvaro; Esteves, Sérgio; Veiga, Luís",Inderscience,2014
,56,Secure multi-owner-based cloud computing scheme for big data,"Al-Shablan, Maram; Tian, Yuan; Al-Rodhaan, Mznah",Inderscience,2016
,57,PaloPro: a platform for knowledge extraction from big social data and the news,"Makrynioti, Nantia; Grivas, Andreas; Sardianos, Christos; Tsirakis, Nikos; Varlamis, Iraklis; Vassalos, Vasilis; Poulopoulos, Vassilis; Tsantilas, Panagiotis",Inderscience,2017
,58,"Special Issue on Biomedical Big Data: Understanding, Learning and Applications","Zhu, J.; Liu, A.; Chen, M.; Tasdizen, T.; Su, H.",unknown,2017
,59,Availability modelling and assurance for a big data computing,"Ke, Zuqiang; Park, Nohpill",Inderscience,2019
,60,Applying big data analytics to support Kansei engineering for hotel service development,"Chen, Mu-Chen; Hsiao, Yu-Hsiang; Chang, Kuo-Chien; Lin, Ming-Ke",Emerald Publishing,2019
,61,An analysis of academic librarians competencies and skills for implementation of Big Data analytics in libraries,"Ahmad, Khurshid; JianMing, Zheng; Rafi, Muhammad",Emerald Publishing,2019
,62,Handling Big Dimensions in Distrubted Data Warehouses using the DWS Technique,"Costa, M.; Madeira, H.","ACM,",2004
,63,Big data analytics: Machine learning and Bayesian learning perspectives—What is done? What is not?,"Suthaharan, Shan",John Wiley & Sons Ltd,2019
,64,BIG DATA and fusion,"Zhang, Jixian",Taylor & Francis,2015
,65,Big Data doesn't always yield big benefits,unknown,SOURCE MEDIA INC.,2015
,66,Quality Assessment of Peer-Produced Content in Knowledge Repositories Using Big Data and Social Networks: The Case of Implicit Collaboration in Wikipedia,"Velichety, Srikar",ACM SIGMIS,2019
,67,Big data analytics on Apache Spark,"Salloum, S.; Dautov, R.; Chen, X.; Peng, P. X.; Huang, J. Z.",Springer Science + Business Media,2016
,68,Data Mining with Big Data,"Xindong, W.; Xingquan, Z.; Gong-Qing, W.; Wei, D.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2014
,69,Big Data Improves Care,unknown,SOURCE MEDIA INC.,2015
,70,Big Data Paradigm: What is the Status of Privacy and Security?,"Strang, K. D.; Sun, Z.",Springer Science + Business Media,2017
,71,Data analysis on big data: improving the map and shuffle phases in Hadoop Map Reduce,"Lakshmi, J.V.N.",Inderscience,2018
,72,"Big Data, the Internet of Things, and the Revised Knowledge Pyramid","Jennex,  Murray E.",ACM SIGMIS,2017
,73,Big Data technologies to process spatial and attribute data when designing and operating mine-engineering systems,"Stepanov, Yuri A.; Stepanov, Alexander V.",Taylor & Francis,2019
,74,Big data analytics—a review of data‐mining models for small and medium enterprises in the transportation sector,"Mohd Selamat, Siti Aishah; Prakoonwit, Simant; Sahandi, Reza; Khan, Wajid; Ramachandran, Manoharan",John Wiley & Sons Ltd,2018
,75,"Big, Bigger, Biggest: Data repositories balloon to unprecedented levels. Coping with ``Big Data.''",unknown,SOURCE MEDIA INC.,2013
,76,Entity deduplication in big data graphs for scholarly communication,"Manghi, Paolo; Atzori, Claudio; De Bonis, Michele; Bardi, Alessia",Emerald Publishing,2020
,77,Special issue: First International Conference on Big Data and Smart Computing (BigComp2014),"Kim, J.; Kwok, J.; Sumiya, K.; Zhang, B. T.","Elsevier Science B.V., Amsterdam.",2016
,78,Data discretization: taxonomy and big data challenge,"Ramírez‐Gallego, Sergio; García, Salvador; Mouriño‐Talín, Héctor; Martínez‐Rego, David; Bolón‐Canedo, Verónica; Alonso‐Betanzos, Amparo; Benítez, José Manuel; Herrera, Francisco",John Wiley & Sons Ltd,2016
,79,Big data analytics – enabled cyber-physical system: model and applications,"Luo, Shuai; Liu, Hongwei; Qi, Ershi",Emerald Group Publishing Limited,2019
,80,Big data analytics for security and criminal investigations,"Pramanik, M.I.; Lau, Raymond Y.K.; Yue, Wei T.; Ye, Yunming; Li, Chunping",John Wiley & Sons Ltd,2017
,81,"Big data, big results: Knowledge discovery in output from large?scale analytics","McCormick, T.H.; Ferrell, R.; Karr, A.F.; Ryan, P.B.","John Wiley & Sons, Ltd",2014
,82,"Big data with cloud computing: an insight on the computing environment, mapreduce, and programming frameworks","Fernández, Alberto; del Río, Sara; López, Victoria; Bawakid, Abdullah; del Jesus, María J.; Benítez, José M.; Herrera, Francisco",John Wiley & Sons Ltd,2014
,83,Big data analytics with swarm intelligence,"Cheng, Shi; Zhang, Qingyu; Qin, Quande",Emerald Group Publishing Limited,2016
,84,EU data privacy laws face big shake-up,"Mullock, J.",Palgrave Macmillan,2012
,85,Tensor-Based Big Data Management Scheme for Dimensionality Reduction Problem in Smart Grid Systems: SDN Perspective,"Kaur, D.; Aujla, G. S.; Kumar, N.; Zomaya, A. Y.; Perera, C.; Ranjan, R.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2018
,86,Practical Big Data,unknown,SOURCE MEDIA INC.,2014
,87,From big data to big analysis: a perspective of geographical conditions monitoring,"Zhai, Liang; Zhang, Na; Hou, Wei; Feng, Zhixian; Qiao, Qinghua; Luo, Minghai",Taylor & Francis,2018
,88,Exploring Big Data Analysis: Fundamental Scientific Problems,"Xu, Z.; Shi, Y.",Springer Science + Business Media,2015
,89,Automated Data Slicing for Model Validation: A Big Data - AI Integration Approach,"Chung, Yeounoh; Kraska, Tim; Polyzotis, Neoklis; Tae, Ki Hyun; Whang, Steven Euijong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,90,Analytics Partners Allina Health teams up with Health Catalyst to garner the benefits of big data,unknown,SOURCE MEDIA INC.,2016
,91,"Michael Buck talks about living his dream of being a bioinformaticist, and the emerging alternatives to big data warehouses",unknown,SOURCE MEDIA INC.,2012
,92,Using data to build a better EM: EM* for big data,"Kurban, H.; Jenne, M.; Dalkilic, M. M.",Springer Science + Business Media,2017
,93,Managing big data in coal-fired power plants: a business intelligence framework,"Chongwatpol, Jongsawas",Emerald Group Publishing Limited,2016
,94,In-Memory Big Data Management and Processing: A Survey,"Hao, Z.; Gang, C.; Beng, C. O.; Kian-Lee, T.; Meihui, Z.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2015
,95,"Towards Big Linked Data: A Large-Scale, Distributed Semantic Data Storage",Bo Hu; Nuno Carvalho; Takahide Matsutsuka,Idea Group Pub,2013
,96,Spatial Data Mining: A Perspective of Big Data,Shuliang Wang; Hanning Yuan,Idea Group Pub,2014
,97,A Detailed Review on the Prominent Compression Methods Used for Reducing the Data Volume of Big Data,"Anuradha, D.; Bhuvaneswari, S.",Springer Science + Business Media,2016
,98,A Scalable Data Chunk Similarity Based Compression Approach for Efficient Big Sensing Data Processing on Cloud,"Yang, C.; Chen, J.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2017
,99,MongoDB-Based Modular Ontology Building for Big Data Integration,"Abbes, H.; Gargouri, F.",Springer,2018
,100,Flexible Heavy Tailed Distributions for Big Data,"Zhang, Y.; Nadarajah, S.",Springer Science + Business Media,2017
,1,Semantics-Aware Approaches to Big Data Engineering,"Cuzzocrea, A.; Sellis, T.",Springer,2017
,2,Forecasting with Big Data: A Review,"Hassani, H.; Silva, E. S.",Springer Science + Business Media,2015
,3,Fuzzy rule based classification systems for big data with MapReduce: granularity analysis,"Fernández, A.; Río, S.; Bawakid, A.; Herrera, F.",Springer Science + Business Media,2017
,4,How China Deals with Big Data,"Shi, Y.; Shan, Z.; Li, J.; Fang, Y.",Springer Science + Business Media,2017
,5,Cell phone big data to compute mobility scenarios for future smart cities,"Tosi, D.",Springer Science + Business Media,2017
,6,Smart city big data analytics: An advanced review,"Soomro, Kamran; Bhutta, Muhammad Nasir Mumtaz; Khan, Zaheer; Tahir, Muhammad A.",John Wiley & Sons Ltd,2019
,7,A Scalable Multi-Data Sources Based Recursive Approximation Approach for Fast Error Recovery in Big Sensing Data on Cloud,"Yang, Chi; Xu, Xianghua; Ramamohanarao, Kotagiri; Chen, Jinjun",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,8,"Semantics Meets Big Data: Formal Models, Practical Issues, Novel Paradigms","Cuzzocrea, A.",Springer,2016
,9,Comparing world regional sustainable supply chain finance using big data analytics: a bibliometric analysis,"Tseng, Ming-Lang; Bui, Tat-Dat; Lim, Ming K.; Tsai, Feng Ming; Tan, Raymond R.",Emerald Group Publishing Limited,2021
,10,Stakeholder Perceptions and Word-of-Mouth on CSR Dynamics: A Big Data Analysis from Twitter,Andrée Marie López-Fernández; Zamira Burgos Silva,"Idea Group Pub.,",2018
,11,SIMD parallel MCMC sampling with applications for big-data Bayesian analytics,"Mahani, A. S.; Sharabiani, M. T.","Elsevier Science B.V., Amsterdam.",2015
,12,An intelligent approach to Big Data analytics for sustainable retail environment using Apriori-MapReduce framework,"Verma, Neha; Singh, Jatinder",Emerald Group Publishing Limited,2017
,13,A watchdog approach - name-matching algorithm for big data risk intelligence,"Kirubakaran, Anusuya; Aramudhan, M.",Inderscience,2018
,14,A Holistic View of Big Data,Won Kim; Ok-Ran Jeong; Chulyun Kim,Idea Group Pub,2014
,15,Extracting Kernel Dataset from Big Sensory Data in Wireless Sensor Networks,"Cheng,  Siyao; Cai,  Zhipeng; Li,  Jianzhong; Gao,  Hong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2017
,16,Quantile regression in big data: A divide and conquer based strategy,"Chen, Lanjue; Zhou, Yong","Elsevier Science B.V., Amsterdam.",2020
,17,An insight into application of big data analytics in healthcare,"Nalluri, Sravani; Sasikala, R.",Inderscience,2020
,18,A review on sentiment discovery and analysis of educational big‐data,"Han, Zhongmei; Wu, Jiyi; Huang, Changqin; Huang, Qionghao; Zhao, Meihua",John Wiley & Sons Ltd,2020
,19,Emulated order identification for models of big time series data,"Wu, Brian; Drignei, Dorin","John Wiley & Sons, Ltd",2021
,20,MR plot: A big data tool for distinguishing distributions,"Ardakani, Omid M.; Asadi, Majid; Ebrahimi, Nader; Soofi, Ehsan S.","John Wiley & Sons, Ltd",2020
,21,Predicting the ratings of Amazon products using Big Data,"Woo, Jongwook; Mishra, Monika",John Wiley & Sons Ltd,2021
,22,Effective and efficient distributed management of big clinical data: a framework,"Cuzzocrea, Alfredo; Grasso, Giorgio Mario; Nolich, Massimiliano",Inderscience,2019
,23,Analysing repeat blood donation behavior via big data,"Chen, Xu; Liu, Lei; Guo, Xinyu",Emerald Group Publishing Limited,2020
,24,Application of hyper-convergent platform for big data in exploring regional innovation systems,"Finogeev, Alexey G.; Gamidullaeva, Leyla A.; Vasin, Sergey M.",Inderscience,2020
,25,Advancing science and technology with big data analytics,"Li, Jia","John Wiley & Sons, Ltd",2018
,26,Incremental Query Processing on Big Data Streams,"Fegaras, L.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,27,Scalable machine‐learning algorithms for big data analytics: a comprehensive review,"Gupta, Preeti; Sharma, Arun; Jindal, Rajni",John Wiley & Sons Ltd,2016
,28,Barriers of embedding big data solutions in smart factories: insights from SAP consultants,"Li, Shuyang; Peng, Guo Chao; Xing, Fei",Emerald Group Publishing Limited,2019
,29,How organisations leverage Big Data: a maturity model,"Comuzzi, Marco; Patel, Anit",Emerald Group Publishing Limited,2016
,30,Online updating method to correct for measurement error in big data streams,"Lee, JooChul; Wang, HaiYing; Schifano, Elizabeth D.","Elsevier Science B.V., Amsterdam.",2020
,31,Efficient Skyline Computation on Big Data,"Xixian, H.; Jianzhong, L.; Donghua, Y.; Jinbao, W.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013
,32,An overview of online based platforms for sharing and analyzing electrophysiology data from big data perspective,"Chen, Yang; Wang, Zhong‐yi; Yuan, Gang; Huang, Lan",John Wiley & Sons Ltd,2017
,33,A Framework for Evaluating Design Methodologies for Big Data Warehouses: Measurement of the Design Process,Francesco Di Tria; Ezio Lefons; Filippo Tangorra,Idea Group Pub,2018
,34,Modeling and Evaluating the Effects of Big Data Storage Resource Allocation in Global Scale Cloud Architectures,Enrico Barbierato; Marco Gribaudo; Mauro Iacono,Idea Group Pub,2016
,35,Mining Suspicious Tax Evasion Groups in Big Data,"Tian, F.; Lan, T.; Chao, K.; Godwin, N.; Zheng, Q.; Shah, N.; Zhang, F.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,36,Enhanced Graph Transforming V2 Algorithm for Non-Simple Graph in Big Data Pre-Processing,"Sutedi, Sutedi",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,37,A Multi-Step Nonlinear Dimension-Reduction Approach with Applications to Big Data,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,38,Skia: Scalable and Efficient In-Memory Analytics for Big Spatial-Textual Data,"Xu, Yang; Yao, Bin; Wang, Zhi-Jie; Gao, Xiaofeng; Xie, Jiong; Guo, Minyi",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,39,The Gamma Matrix to Summarize Dense and Sparse Data Sets for Big Data Analytics,"Ordonez, C.; Zhang, Y.; Cabrera, W.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,40,T-PCCE: Twitter Personality based Communicative Communities Extraction System for Big Data,"Kafeza, Eleanna; Kanavos, Andreas; Makris, Christos; Pispirigos, Georgios; Vikatos, Pantelis",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,41,An uncertainty measure and fusion rule for conflict evidences of big data via Dempster–Shafer theory,"Dutta, Palash",Taylor & Francis,2018
,42,K Nearest Neighbour Joins for Big Data on MapReduce: A Theoretical and Experimental Analysis,"Song, G.; Rochas, J.; Beze, L. E.; Huet, F.; Magoules, F.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,43,On the Feasibility of Distributed Kernel Regression for Big Data,"Xu, Chen; Zhang, Yongquan; Li, Runze; Wu, Xindong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,44,Security and Privacy Implications on Database Systems in Big Data Era: A Survey,"Samaraweera, G. Dumindu; Chang, J. Morris",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,45,A Novel Pipeline Approach for Efficient Big Data Broadcasting,"Wu, C.; Ku, C.; Ho, J.; Chen, M.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,46,Bias Correction in a Small Sample from Big Data,"Jianguo, L.; Dingding, L.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013
,47,i$^2$ MapReduce: Incremental MapReduce for Mining Evolving Big Data,"Yanfeng, Z.; Shimin, C.; Qiang, W.; Ge, Y.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2015
,48,Scalable Algorithms for Nearest-Neighbor Joins on Big Trajectory Data,"Fang,  Yixiang; Cheng,  Reynold; Tang,  Wenbin; Maniu,  Silviu; Yang,  Xuan",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,49,Haery: A Hadoop Based Query System on Accumulative and High-Dimensional Data Model for Big Data,"Song, Jie; He, Hongyan; Thomas, Richard; Bao, Yubin; Yu, Ge",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,50,Web Media and Stock Markets : A Survey and Future Directions from a Big Data Perspective,"Li, Q.; Chen, Y.; Wang, J.; Chen, Y.; Chen, H.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2018
,51,Efficient and Distributed Generalized Canonical Correlation Analysis for Big Multiview Data,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,52,VA-Store: A Virtual Approximate Store Approach to Supporting Repetitive Big Data in Genome Sequence Analyses,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,53,A Semi-Automatic Design Methodology for (Big) Data Warehouse Transforming Facts into Dimensions,"Sautot, Lucile; Bimonte, Sandro; Journaux, Ludovic",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,54,"Big business, big government and big legal questions Big data is here to stay, but what does it mean for IP? Todd Vare and Michael Mattioli look at how big data can be protected in the US, and ask whether it can thrive under the existing legal framework",unknown,EUROMONEY PUBLICATIONS PLC,2014
,55,"Big Data, Big Impact Four of this year's Computerworld Honors Laureates are using big data to battle the effects of unemployment and climate change, raise social awareness and help at-risk students",unknown,CW COMMUNICATIONS INC.,2013
,56,"Big Data, Big Knowledge: Big Data for Personalized Healthcare","Viceconti, M.; Hunter, P.; Hose, R.",IEEE,2015
,57,Big data driven smart energy management: From big data to big insights,"Zhou, Kaile; Fu, Chao; Yang, Shanlin","Elsevier Science B.V., Amsterdam.",2016
,58,BIG data – BIG gains? Understanding the link between big data analytics and innovation,"Niebel, Thomas; Rasel, Fabienne; Viete, Steffen",Taylor & Francis,2019
,59,"Big Bang, Big Data, Big Iron: Fifteen Years of Cosmic Microwave Background Data Analysis at NERSC","Borrill, J.; Keskitalo, R.; Kisner, T.",IEEE,2015
,60,Big data creating new knowledge as support in decision-making: practical examples of big data use and consequences of using big data as decision support,"Fredriksson, Cecilia",Taylor & Francis,2018
,61,Big Security for Big Data: Addressing Security Challenges for the Big Data Infrastructure,"Demchenko, Y.; Ngo, C.; de Laat, C.; Membrey, P.; Gordijenko, D.",SPRINGER-VERLAG,2014
,62,"Big Data, Big Jobs? : As companies embrace big data, they're in the market for high-level strategists and communicators. Do you have the chops to snag a big data job?",unknown,CW COMMUNICATIONS INC.,2013
,63,"Big data, big money Mining big data can make a major difference, but there is even more value in spinning off the data",unknown,BRW MEDIA,2013
,64,"Big Data, Big Questions Can emerging big data technologies work in old-school companies? Sears is trying",unknown,"CMP PUBLICATIONS, INC.",2012
,65,Big Data and Risk Management The financial services industry provides lessons on how to prevent ``Big Data'' from becoming a big problem,unknown,RISK MANAGEMENT SOC PUBLISHING INC,2012
,66,"Big data small data. The concept of big data is hard to quantify, so it's good to remember hat big data is made up of small data","Randall, C.",CENTAUR MEDIA PLC,2013
,67,"Big Data: Big Gain or Big Pain for Lawyers? Huge quantities of data offer a potential boon to lawyers, but they will cause headaches, too","Nelson, S.D.; Simek, J.W.",AMERICAN BAR ASSOCIATION,2013
,68,BIG DATA IS A BIG DEAL The E&amp;P industry must work with ``big data'' to meet future demand from a growing global population,unknown,SOCIETY OF PETROLEUM ENGINEERS OF AIME,2013
,69,Is Big Data in Healthcare about Big Hope or Big Hype? Early Health Technology Assessment of Big Data Analytics in Healthcare,"Bakker, LJ; Aarts, J; Redekop, WK","Elsevier Science B.V., Amsterdam",2016
,70,Think Big with Big Data: Identifying Suitable Big Data Strategies in Corporate Environments,"Ebner, K.; Buhnen, T.; Urbach, N.",IEEE,2014
,71,"Digital Data, Administrative Data, and Survey Compared: Updating the Classical Toolbox for Assessing Data Quality of Big Data, Exemplified by the Generation of Corruption Data","Graeff, Peter; Baur, Nina",UNIVERSITY OF COLOGNE,2020
,72,"Cognitive big data: survey and review on big data research and its implications. What is really ""new"" in big data?","Lugmayr, Artur; Stockleben, Björn; Scheib, Christoph; Mailaparampil, Mathew A.",Emerald Group Publishing limited,2017
,73,When big data meets software-defined networking: SDN for big data and big data for SDN,"Laizhong, C.; Yu, F. R.; Qiao, Y.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,74,Does big data mean big knowledge? KM perspectives on big data and analytics,"Pauleen, David J.; Wang, William Y.C.",Emerald Group Publishing limited,2017
,75,Does big data mean big knowledge? Integration of big data analysis and conceptual model for social commerce research,"Tian, X.; Liu, L.",Springer Science + Business Media,2017
,76,Is Big Data in Healthcare about Big Hope or Big Hype? Early Health Technology Assessment of Big Data Analytics in Healthcare,"Bakker, L.; Aarts, J.; Redekop, W.","Elsevier Science B.V., Amsterdam",2016
,77,Is big data a big deal? A competition law approach to big data,"Sivinski, Greg; Okuliar, Alex; Kjolbye, Lars",Taylor & Francis,2017
